City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
7,Kawalu,ID,78.15,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
16,Dhule,IN,82.42,overcast clouds,20.9,74.7833,Hotel Dwarkamai
19,Nichinan,JP,88.75,broken clouds,31.6,131.3667,Guest House Aki
21,Orocue,CO,75.72,scattered clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
23,Ahuimanu,US,87.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
26,Acapulco,MX,78.51,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
31,Ormara,PK,80.44,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
38,Kampot,KH,84.25,scattered clouds,10.6167,104.1833,Two Moons Hotel
41,Dharchula,IN,76.12,overcast clouds,29.85,80.5333,Mahara Hotel
42,Butaritari,KI,82.99,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
44,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
47,Chimore,BO,79.9,overcast clouds,-16.9833,-65.1333,Bichito
48,Axim,GH,75.06,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
50,Jalu,LY,78.76,clear sky,29.0331,21.5482,صاحبة الفخامة
52,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
54,Ratnagiri,IN,80.82,overcast clouds,16.9833,73.3,Hotel Landmark
57,Cabo San Lucas,MX,85.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
61,Hungund,IN,76.71,overcast clouds,16.0667,76.05,B S Hosur Rrt PDO
63,San Policarpo,PH,81.39,overcast clouds,12.1791,125.5072,Manong Aklan Resort
65,Atuona,PF,77.99,few clouds,-9.8,-139.0333,Villa Enata
66,Ambon,ID,80.58,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
67,Airai,TL,75.22,broken clouds,-8.9266,125.4092,Juvinal Martin
70,Hithadhoo,MV,81.39,broken clouds,-0.6,73.0833,Scoop Guest House
75,Sena Madureira,BR,77.61,scattered clouds,-9.0656,-68.6569,Hotel Central
77,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
81,San Patricio,US,85.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Palmas Bellas,PA,78.71,overcast clouds,9.2319,-80.0867,Estación de Chagres
87,Bac Lieu,VN,88.66,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
92,Kapaa,US,84.52,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
95,Dalbandin,PK,88.21,clear sky,28.8947,64.4101,Sanjrani House
97,Dicabisagan,PH,87.21,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
98,Marawi,PH,81.9,overcast clouds,7.9986,124.2928,Derogongan Residence
100,Isangel,VU,75.31,scattered clouds,-19.55,169.2667,Tanna Lodge
101,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
104,Esqueda,MX,77.27,scattered clouds,30.7167,-109.5833,Hotel Esqueda
108,Pierre,US,81.05,clear sky,44.3683,-100.351,Ramkota Hotel
112,Bengkulu,ID,82.54,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
115,Lorengau,PG,84.47,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
117,Carutapera,BR,75.13,clear sky,-1.195,-46.02,Lidera
124,Charters Towers,AU,78.04,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
126,Waingapu,ID,84.06,clear sky,-9.6567,120.2641,Pondok Wisata Elim
127,Brandon,US,80.91,clear sky,27.9378,-82.2859,Brandon Motor Lodge
130,Kihei,US,83.46,scattered clouds,20.785,-156.4656,Maui Sunset
133,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
134,Hilo,US,82.13,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
136,Winslow,US,80.78,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
138,Namatanai,PG,83.91,light rain,-3.6667,152.4333,Seagulls Inn Namatani
143,Moussoro,TD,77.18,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
148,Redmond,US,75.11,broken clouds,47.674,-122.1215,Seattle Marriott Redmond
150,Sao Filipe,CV,77.63,overcast clouds,14.8961,-24.4956,Hotel Xaguate
153,Bubaque,GW,78.48,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
154,Fort-Shevchenko,KZ,87.89,scattered clouds,44.5086,50.263,Oasis hotel Bautino
159,Korla,CN,81.09,clear sky,41.7597,86.1469,Gulisitan Hotel
164,Nekhayevskiy,RU,77.43,overcast clouds,50.4106,41.7561,Gostevoy Dom St. Nekhayevskaya Zhil'yo Posutochno
165,Kanker,IN,83.26,overcast clouds,20.2719,81.4931,STARiHOTEL Kanker
167,Georgetown,MY,85.93,scattered clouds,5.4112,100.3354,Cititel Penang
181,Ocos,GT,82.31,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
184,Suluq,LY,77.97,clear sky,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
191,Salalah,OM,75.29,drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
195,Kavieng,PG,84.38,few clouds,-2.5744,150.7967,Nusa Island Retreat
198,Riyadh,SA,87.85,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
199,Methoni,GR,79.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
201,Biak,ID,82.27,few clouds,-0.9131,122.8766,Penginapan Kim
202,Kokopo,PG,85.59,clear sky,-4.352,152.2633,Kokopo Beach Bungalow Resort
204,Jiuquan,CN,78.64,overcast clouds,39.7432,98.5174,Jiuquan Hotel
207,Banjar,ID,84.06,few clouds,-8.19,114.9675,The Hamsa Resort
211,Panvel,IN,84.18,overcast clouds,18.9833,73.1,Hotel Devanshi Inn
212,El Campo,US,84.72,scattered clouds,29.1966,-96.2697,"Lonestar Inn, El Campo Texas"
215,Tezu,IN,77.45,overcast clouds,27.9167,96.1667,Circuit House
216,Vanimo,PG,85.05,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
219,Monrovia,LR,77.22,light rain,6.3005,-10.7969,Sunset Inn
222,Portland,US,81.39,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
223,Tabou,CI,76.17,light rain,4.423,-7.3528,hotêl doufoulougou
226,Rock Sound,BS,83.55,few clouds,24.9,-76.2,Rock Sound Club
230,Rosetta,EG,80.42,clear sky,31.4044,30.4164,Green Valley
232,Jamestown,US,77.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
236,Raybag,IN,75.04,overcast clouds,16.4833,74.7833,SHREE RAM TRADERS
237,Taylor,US,89.76,clear sky,32.3001,-99.8337,Elm Creek Bed & Breakfast
239,Victoria,HK,86.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
240,Venice,US,81.99,broken clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
246,Sunland Park,US,88.25,clear sky,31.7965,-106.58,SpringHill Suites by Marriott El Paso
247,Canto Do Buriti,BR,77.85,few clouds,-8.11,-42.9444,Novo Hotel
248,Tommot,RU,76.98,broken clouds,58.9564,126.2925,Gostinitsa Tommot
250,Kavaratti,IN,81.14,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
252,Khandyga,RU,83.98,few clouds,62.6667,135.6,Apel'sin
258,Labuhan,ID,83.68,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
266,Coahuayana,MX,76.66,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
282,Nueva Concepcion,GT,80.76,overcast clouds,14.2,-91.3,Hotel Villa Las Flores
283,Itarema,BR,79.27,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
290,Bardiyah,LY,77.86,clear sky,31.7561,25.0865,بورتو بردية
299,Ryotsu,JP,76.96,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
301,Puerto Escondido,MX,83.23,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
