City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Mataura,NZ,2021-08-10 03:19:49,-46.1927,168.8643,47.48,96,100,8.99,light rain
1,Batagay-Alyta,RU,2021-08-10 03:23:49,67.8006,130.4114,76.64,25,70,7.31,broken clouds
2,Muros,ES,2021-08-10 03:23:50,42.7762,-9.0603,60.24,91,0,5.14,clear sky
3,Yar-Sale,RU,2021-08-10 03:20:19,66.8333,70.8333,56.03,71,21,13.51,few clouds
4,Osijek,HR,2021-08-10 03:23:50,45.5511,18.6939,71.42,94,0,5.75,clear sky
5,Lebu,CL,2021-08-10 03:23:50,-37.6167,-73.65,46.71,87,1,17.56,clear sky
6,Taltal,CL,2021-08-10 03:23:51,-25.4,-70.4833,58.28,77,34,4.74,scattered clouds
7,Kawalu,ID,2021-08-10 03:23:51,-7.3817,108.2082,78.15,81,96,4.12,overcast clouds
8,Qaanaaq,GL,2021-08-10 03:23:52,77.484,-69.3632,38.95,75,86,7.31,overcast clouds
9,Srednekolymsk,RU,2021-08-10 03:23:52,67.45,153.6833,78.13,30,59,9.33,broken clouds
10,Bluff,NZ,2021-08-10 03:19:45,-46.6,168.3333,47.8,86,100,21.56,overcast clouds
11,Rikitea,PF,2021-08-10 03:19:31,-23.1203,-134.9692,72.63,81,76,17.78,broken clouds
12,Warmbad,NA,2021-08-10 03:21:19,-28.45,18.7333,44.69,54,0,9.73,clear sky
13,Vaini,TO,2021-08-10 03:19:40,-21.2,-175.2,71.76,83,75,12.66,broken clouds
14,Normandin,CA,2021-08-10 03:23:53,48.8333,-72.5321,73.71,94,99,4.61,overcast clouds
15,Victor Harbor,AU,2021-08-10 03:23:53,-35.5667,138.6167,68.47,47,62,23.49,light rain
16,Dhule,IN,2021-08-10 03:23:54,20.9,74.7833,82.42,63,100,8.7,overcast clouds
17,Hobart,AU,2021-08-10 03:20:38,-42.8794,147.3294,66.22,49,40,5.01,scattered clouds
18,Pisco,PE,2021-08-10 03:23:54,-13.7,-76.2167,58.01,82,3,4.61,smoke
