City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kieta,PG,2021-08-09 04:04:38,-6.2167,155.6333,82.98,70,88,4.14
1,Ushuaia,AR,2021-08-09 04:01:54,-54.8,-68.3,36.23,95,100,8.23
2,Uruzgan,AF,2021-08-09 04:04:39,32.8333,66.0,82.96,13,2,4.74
3,Energetik,RU,2021-08-09 04:04:39,51.7445,58.7934,67.14,61,53,7.38
4,Fortuna,US,2021-08-09 04:01:09,40.5982,-124.1573,59.09,68,1,3.0
5,Busselton,AU,2021-08-09 04:04:40,-33.65,115.3333,58.05,68,81,27.36
6,Tasiilaq,GL,2021-08-09 04:01:14,65.6145,-37.6368,48.36,92,100,15.52
7,Beyneu,KZ,2021-08-09 04:02:06,45.3167,55.2,89.13,18,0,12.53
8,Envira,BR,2021-08-09 04:04:40,-7.3,-70.2167,73.27,58,18,2.93
9,Khatanga,RU,2021-08-09 04:04:41,71.9667,102.5,57.04,81,100,11.39
10,Punta Arenas,CL,2021-08-09 04:04:41,-53.15,-70.9167,41.11,75,90,20.71
11,Sitia,GR,2021-08-09 04:01:50,35.2,26.0986,78.35,67,0,20.09
12,Romitan,UZ,2021-08-09 04:04:42,39.9343,64.3814,80.55,26,0,16.11
13,Nouadhibou,MR,2021-08-09 04:04:42,20.931,-17.0347,69.6,86,2,17.81
14,Pacific Grove,US,2021-08-09 04:01:44,36.6177,-121.9166,66.16,92,69,1.01
15,Coihaique,CL,2021-08-09 04:00:36,-45.5752,-72.0662,33.76,91,81,4.61
16,Provideniya,RU,2021-08-09 04:04:43,64.3833,-173.3,55.51,58,75,13.42
17,Mataura,NZ,2021-08-09 04:04:43,-46.1927,168.8643,44.47,97,100,6.73
18,Laguna,US,2021-08-09 04:04:44,38.421,-121.4238,84.7,53,1,8.05
19,Tura,IN,2021-08-09 04:04:44,25.5198,90.2201,79.63,91,98,6.08
20,Kamenka,RU,2021-08-09 04:04:44,51.3223,42.7678,78.15,35,100,15.19
21,La Ronge,CA,2021-08-09 04:03:08,55.1001,-105.2842,56.73,73,84,11.14
22,Jamestown,US,2021-08-09 04:04:45,42.097,-79.2353,72.36,92,1,1.01
23,Tanout,NE,2021-08-09 04:02:55,14.9709,8.8879,81.27,62,93,5.95
24,Hilo,US,2021-08-09 04:00:24,19.7297,-155.09,77.18,83,53,1.99
25,Wanaka,NZ,2021-08-09 04:04:46,-44.7,169.15,40.86,60,53,1.92
26,Avarua,CK,2021-08-09 04:04:46,-21.2078,-159.775,75.25,78,57,12.66
